Id,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd
1,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,7,5,2003,2003
3,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,7,5,2001,2002
5,Gentle slope,Northridge,Norm,Norm,1Fam,2Story,8,5,2000,2000
6,Gentle slope,Mitchell,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995
7,Gentle slope,Somerset,Norm,Norm,1Fam,1Story,8,5,2004,2005
12,Gentle slope,Northridge Heights,Norm,Norm,1Fam,2Story,9,5,2005,2006
14,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,2006,2007
19,Gentle slope,Sawyer West,RRAe,Norm,1Fam,1Story,5,5,2004,2004
21,Gentle slope,Northridge Heights,Norm,Norm,1Fam,2Story,8,5,2005,2006
23,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,8,5,2002,2002
26,Gentle slope,Northridge Heights,Norm,Norm,1Fam,1Story,8,5,2007,2007
28,Gentle slope,Northridge Heights,Norm,Norm,1Fam,1Story,8,5,2007,2008
33,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,8,5,2007,2007
35,Gentle slope,Northridge Heights,Norm,Norm,TwnhsE,1Story,9,5,2005,2005
36,Gentle slope,Northridge Heights,Norm,Norm,1Fam,2Story,8,5,2004,2005
37,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,5,5,1994,1995
43,Gentle slope,Sawyer West,Norm,Norm,1Fam,SFoyer,5,7,1983,1983
46,Gentle slope,Northridge Heights,Norm,Norm,TwnhsE,1Story,9,5,2005,2005
47,Gentle slope,Mitchell,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003
48,Gentle slope,Somerset,Norm,Norm,1Fam,1Story,8,5,2006,2006
51,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997
54,Gentle slope,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987
57,Gentle slope,Somerset,Norm,Norm,Twnhs,2Story,8,5,1999,2000
58,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,7,5,2004,2004
59,Gentle slope,Stone Brook,Norm,Norm,1Fam,2Story,10,5,2006,2006
61,Gentle slope,Sawyer West,RRAe,Norm,1Fam,1Story,6,5,2004,2004
63,Gentle slope,Northridge Heights,Norm,Norm,TwnhsE,1Story,8,5,2006,2006
65,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,7,5,1997,1998
66,Gentle slope,Northridge Heights,Norm,Norm,1Fam,2Story,8,5,2004,2005
68,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,2003,2003
72,Gentle slope,Mitchell,Norm,Norm,1Fam,1Story,4,6,1982,2006
73,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998
82,Gentle slope,Mitchell,Norm,Norm,TwnhsE,1Story,6,5,1998,1998
83,Gentle slope,Somerset,Norm,Norm,1Fam,1Story,8,5,2007,2007
85,Gentle slope,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996
86,Gentle slope,Northridge,Norm,Norm,1Fam,2Story,8,5,1991,1992
87,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005
88,Gentle slope,Somerset,Norm,Norm,TwnhsE,2Story,6,5,2009,2009
90,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,4,5,1994,1995
95,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,6,5,1997,1997
96,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993
97,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,1999,1999
102,Gentle slope,Sawyer West,Norm,Norm,1Fam,2Story,6,5,1985,1985
104,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,2009,2009
106,Gentle slope,Somerset,Norm,Norm,1Fam,2Story,8,5,2003,2004
112,Gentle slope,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000
113,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,7,5,2007,2007
116,Gentle slope,Somerset,Norm,Norm,TwnhsE,2Story,6,5,1999,1999
118,Gentle slope,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007
119,Gentle slope,Sawyer West,Norm,Norm,1Fam,2Story,7,5,1990,1990
120,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,6,5,2005,2006
124,Gentle slope,Sawyer West,Norm,Norm,TwnhsE,1Story,6,5,1993,1993
132,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000
134,Gentle slope,Timberland,Norm,Norm,1Fam,1Story,8,5,2001,2002
138,Gentle slope,Mitchell,Norm,Norm,Duplex,1Story,7,5,1988,1989
139,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,8,5,1999,2000
140,Gentle slope,College Creek,Norm,Norm,1Fam,2Story,6,5,1997,1997
142,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,2005,2005
144,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,1999,1999
146,Gentle slope,Edwards,Norm,Norm,Twnhs,2Story,6,5,2004,2006
148,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,2001
149,Gentle slope,Sawyer West,Norm,Norm,1Fam,1Story,7,5,2004,2005
152,Gentle slope,Northridge Heights,Norm,Norm,1Fam,1Story,8,5,2007,2008
158,Gentle slope,Timberland,Norm,Norm,1Fam,2Story,8,5,2009,2010
159,Gentle slope,Somerset,Norm,Norm,1Fam,2Story,7,5,2004,2005
160,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,7,5,2005,2006
161,Gentle slope,Veenker,Norm,Norm,1Fam,1Story,6,6,1984,1984
162,Gentle slope,Northridge Heights,Norm,Norm,1Fam,2Story,9,5,2003,2004
163,Gentle slope,Northridge Heights,Norm,Norm,1Fam,1Story,7,5,2005,2005
168,Gentle slope,Northridge Heights,Norm,Norm,1Fam,2Story,8,5,2007,2007
169,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004
170,Gentle slope,Timberland,Norm,Norm,1Fam,1Story,8,6,1981,1981
173,Gentle slope,Stone Brook,Norm,Norm,TwnhsE,2Story,7,7,1987,1987
175,Gentle slope,Timberland,Norm,Norm,1Fam,1Story,6,5,1986,1986
177,Gentle slope,Clear Creek,Norm,Norm,1Fam,2Story,6,5,1988,1989
179,Gentle slope,Stone Brook,Norm,Norm,1Fam,1Story,9,5,2008,2009
181,Gentle slope,Somerset,Norm,Norm,Twnhs,2Story,6,5,2000,2000
184,Gentle slope,Old Town,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003
187,Gentle slope,Mitchell,Norm,Norm,1Fam,SLvl,7,5,1990,1991
190,Gentle slope,Stone Brook,Norm,Norm,TwnhsE,1Story,8,5,2001,2002
193,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,1999,1999
194,Gentle slope,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004
197,Gentle slope,Somerset,Norm,Norm,1Fam,1Story,7,5,2007,2007
200,Gentle slope,Northridge Heights,Norm,Norm,1Fam,1Story,8,5,2004,2005
201,Gentle slope,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004
204,Gentle slope,College Creek,Norm,Norm,TwnhsE,1Story,6,5,2004,2004
206,Gentle slope,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990
209,Moderate Deductions,Sawyer West,Norm,Norm,1Fam,2Story,7,5,1988,1989
212,Gentle slope,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,2009
213,Gentle slope,Somerset,Norm,Norm,1Fam,2Story,7,5,2009,2009
214,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,5,5,1995,1995
217,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,2004,2004
220,Gentle slope,Bloomington Heights,Norm,Norm,TwnhsE,1Story,7,5,2005,2006
221,Gentle slope,College Creek,Norm,Norm,1Fam,1Story,7,5,2006,2006
222,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002
225,Gentle slope,Northridge Heights,Norm,Norm,1Fam,1Story,10,5,2003,2003
227,Gentle slope,Northridge,Norm,Norm,1Fam,2Story,7,5,1995,1995
230,Gentle slope,Bloomington Heights,Norm,Norm,TwnhsE,1Story,7,5,2005,2006
232,Gentle slope,Northridge,Norm,Norm,1Fam,2Story,8,5,1995,1996
235,Gentle slope,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002
