Id,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType
1,Gable,CompShg,VinylSd,VinylSd,BrkFace
3,Gable,CompShg,VinylSd,VinylSd,BrkFace
5,Gable,CompShg,VinylSd,VinylSd,BrkFace
6,Gable,CompShg,VinylSd,VinylSd,None
7,Gable,CompShg,VinylSd,VinylSd,Stone
12,Hip,CompShg,WdShing,Wd Shng,Stone
14,Gable,CompShg,VinylSd,VinylSd,Stone
19,Gable,CompShg,VinylSd,VinylSd,None
21,Gable,CompShg,VinylSd,VinylSd,BrkFace
23,Hip,CompShg,VinylSd,VinylSd,BrkFace
26,Gable,CompShg,VinylSd,VinylSd,Stone
28,Gable,CompShg,VinylSd,VinylSd,Stone
33,Gable,CompShg,VinylSd,VinylSd,None
35,Hip,CompShg,MetalSd,MetalSd,BrkFace
36,Gable,CompShg,VinylSd,VinylSd,Stone
37,Gable,CompShg,VinylSd,VinylSd,None
43,Gable,CompShg,HdBoard,HdBoard,None
46,Hip,CompShg,MetalSd,MetalSd,BrkFace
47,Gable,CompShg,VinylSd,VinylSd,None
48,Gable,CompShg,VinylSd,VinylSd,None
51,Gable,CompShg,VinylSd,VinylSd,None
54,Gable,WdShngl,WdShing,Wd Shng,None
57,Gable,CompShg,MetalSd,MetalSd,BrkFace
58,Gable,CompShg,VinylSd,VinylSd,None
59,Hip,CompShg,VinylSd,VinylSd,BrkFace
61,Gable,CompShg,VinylSd,VinylSd,None
63,Gable,CompShg,VinylSd,VinylSd,Stone
65,Gable,CompShg,VinylSd,VinylSd,BrkFace
66,Gable,CompShg,VinylSd,VinylSd,BrkFace
68,Gable,CompShg,VinylSd,VinylSd,BrkFace
72,Gable,CompShg,HdBoard,Plywood,None
73,Gable,CompShg,VinylSd,VinylSd,BrkFace
82,Hip,CompShg,VinylSd,VinylSd,BrkFace
83,Gable,CompShg,VinylSd,VinylSd,Stone
85,Gable,CompShg,HdBoard,HdBoard,BrkFace
86,Hip,CompShg,HdBoard,HdBoard,BrkFace
87,Gable,CompShg,VinylSd,VinylSd,None
88,Gable,CompShg,VinylSd,VinylSd,Stone
90,Gable,CompShg,VinylSd,VinylSd,None
95,Gable,CompShg,VinylSd,VinylSd,None
96,Gable,CompShg,VinylSd,VinylSd,BrkFace
97,Gable,CompShg,VinylSd,VinylSd,BrkFace
102,Gable,CompShg,HdBoard,HdBoard,BrkFace
104,Gable,CompShg,VinylSd,VinylSd,None
106,Hip,CompShg,VinylSd,VinylSd,BrkFace
112,Gable,CompShg,VinylSd,VinylSd,None
113,Gable,CompShg,VinylSd,VinylSd,Stone
116,Gable,CompShg,MetalSd,MetalSd,BrkFace
118,Gable,CompShg,VinylSd,VinylSd,None
119,Hip,CompShg,Plywood,Plywood,None
120,Gable,CompShg,VinylSd,VinylSd,None
124,Gable,CompShg,Plywood,Plywood,None
132,Gable,CompShg,VinylSd,VinylSd,BrkFace
134,Gable,CompShg,VinylSd,VinylSd,BrkFace
138,Gable,CompShg,VinylSd,VinylSd,BrkFace
139,Gable,CompShg,VinylSd,VinylSd,BrkFace
140,Gable,CompShg,VinylSd,VinylSd,None
142,Gable,CompShg,VinylSd,VinylSd,None
144,Gable,CompShg,VinylSd,VinylSd,BrkFace
146,Gable,CompShg,VinylSd,VinylSd,Stone
148,Gable,CompShg,VinylSd,VinylSd,BrkFace
149,Gable,CompShg,VinylSd,VinylSd,BrkFace
152,Hip,CompShg,VinylSd,VinylSd,Stone
158,Gable,CompShg,VinylSd,VinylSd,BrkFace
159,Gable,CompShg,VinylSd,VinylSd,None
160,Gable,CompShg,VinylSd,VinylSd,BrkFace
161,Gable,CompShg,Plywood,Plywood,None
162,Gable,CompShg,VinylSd,VinylSd,BrkFace
163,Gable,CompShg,VinylSd,VinylSd,BrkFace
168,Gable,CompShg,VinylSd,VinylSd,Stone
169,Gable,CompShg,VinylSd,VinylSd,None
170,Hip,WdShake,Plywood,Plywood,BrkFace
173,Gable,CompShg,HdBoard,HdBoard,None
175,Gable,CompShg,VinylSd,Plywood,Stone
177,Gable,CompShg,Plywood,Plywood,BrkFace
179,Hip,CompShg,VinylSd,VinylSd,Stone
181,Gable,CompShg,MetalSd,MetalSd,BrkFace
184,Gable,CompShg,VinylSd,VinylSd,None
187,Gable,CompShg,HdBoard,HdBoard,None
190,Gable,CompShg,CemntBd,CmentBd,None
193,Gable,CompShg,VinylSd,VinylSd,None
194,Gable,CompShg,VinylSd,VinylSd,Stone
197,Hip,CompShg,CemntBd,CmentBd,Stone
200,Hip,CompShg,VinylSd,VinylSd,BrkFace
201,Gable,CompShg,VinylSd,VinylSd,None
204,Gable,CompShg,VinylSd,VinylSd,BrkFace
206,Gable,CompShg,HdBoard,HdBoard,None
209,Gable,CompShg,Plywood,Plywood,BrkFace
212,Gable,CompShg,VinylSd,VinylSd,None
213,Gable,CompShg,VinylSd,VinylSd,None
214,Gable,CompShg,VinylSd,VinylSd,None
217,Gable,CompShg,VinylSd,VinylSd,BrkFace
220,Gable,CompShg,VinylSd,VinylSd,BrkFace
221,Gable,CompShg,VinylSd,VinylSd,None
222,Gable,CompShg,VinylSd,VinylSd,None
225,Hip,CompShg,VinylSd,VinylSd,BrkFace
227,Gable,CompShg,VinylSd,VinylSd,BrkFace
230,Gable,CompShg,VinylSd,VinylSd,BrkFace
232,Gable,CompShg,VinylSd,VinylSd,BrkFace
235,Gable,CompShg,VinylSd,VinylSd,nan
